Project ID,SDLC Stage,Description,Started Date,Started Time,Ended Date,Ended Time,Duration (Hours),Billable Cost (SGD),Remarks
GS-HQ,Planning,Define implementation scope and rollout plan,2026-03-12,16:38,2026-03-12,17:25,0.78,12.48,"Initial setup docs, branding, templates"
GS-HQ,Design,Build reusable UI shell and auth templates,2026-03-12,17:25,2026-03-12,18:12,0.78,12.48,"Layouts, auth pages, sample templates"
GS-HQ,Development,Build core HQ modules and admin foundation,2026-03-13,03:23,2026-03-13,10:57,7.57,121.12,"Auth, clients, projects, time entries, events"
GS-HQ,Development,Build billing, finance, and dashboard modules,2026-03-13,09:48,2026-03-13,11:06,1.30,20.80,"Pricing, invoices, Stripe, finance dashboard"
GS-HQ,Testing,Stabilize auth, admin, and security flows,2026-03-16,11:43,2026-03-17,17:42,29.98,479.68,"Hardening, auth fixes, seeders, admin flow"
GS-HQ,Development,Refactor time entries and currency handling,2026-03-17,18:10,2026-03-18,10:56,16.77,268.32,"Time entry refactor, currency CRUD, imports"
GS-HQ,Deployment,Upgrade Laravel and prepare production baseline,2026-03-18,18:55,2026-03-18,19:23,0.47,7.52,"Laravel 13 upgrade, API prep"
GS-HQ,Testing,Stabilize billing, GA, and application flows,2026-03-19,11:33,2026-03-21,17:36,54.05,864.80,"Billing fixes, GA fixes, permissions, API hardening"
GS-HQ,Analysis,Define billing architecture and pricing contracts,2026-03-20,13:15,2026-03-23,16:18,75.05,1200.80,"Billing/payment docs, pricing endpoints"
GS-HQ,Development,Build integrations, analytics, and permissions,2026-03-24,13:24,2026-03-27,03:46,62.37,997.92,"Permissions, analytics, integrations, reminders"
GS-HQ,Development,Build accounts, applications, and capture flows,2026-03-27,20:23,2026-03-28,23:28,27.08,433.28,"Accounts, applications, capture, associations"
GS-HQ,Development,Build workspaces and multi-tenant API v1,2026-03-30,12:42,2026-04-06,22:39,177.95,2847.20,"Workspaces, JWT, policies, logs, integrations"
GS-HQ,Testing,Stabilize API v1 auth and observability flows,2026-04-07,01:09,2026-04-10,22:23,93.23,1491.68,"2FA, settings, queue health, GA fixes"
GS-HQ,Development,Build billing catalog and storage enhancements,2026-04-15,08:35,2026-04-15,12:12,3.62,57.92,"Billing catalog, entitlements, storage"
GS-HQ,Maintenance,Decouple HQ control plane and finalize licensing,2026-04-16,12:01,2026-04-17,13:55,25.90,414.40,"Remove HQ coupling, offline licensing, smoke fixes"
